   191: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   192: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   193: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   194: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   195: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   196: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   197: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   198: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   199: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   200: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   201: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   202: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   203: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   204: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   205: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   206: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   207: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   208: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   209: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   210: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   211: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   212: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   213: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   214: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   215: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   216: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   217: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   218: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   219: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   220: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   221: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   222: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   223: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   224: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   225: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   226: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   227: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   228: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   229: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   230: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   231: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   232: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   233: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   234: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   235: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   236: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   237: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   238: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   239: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   240: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   241: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   242: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   243: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   244: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   245: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   246: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   247: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   248: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
